State Name 	Postal abbreviation	Capital/Cities	Endorse date
Alabama	AL	Montgomery, Birmingham	Dec 14, 1819
Alaska	AK	Juneau, Anchorage	Jan 3, 1959
Arizona	AZ	Phoenix	Feb 14, 1912
Arkansas	AR	Little Rock	Jun 15, 1836
California	CA	Sacramento, Los Angeles	Sep 9, 1850
Colorado	CO	Denver	Aug 1, 1876
Connecticut	CT	Hartford, Bridgeport	Jan 9, 1788
Delaware	DE	Dover, Wilmington	Dec 7, 1787
Florida	FL	Tallahassee, Jacksonville	Mar 3, 1845
Georgia	GA	Atlanta	Jan 2, 1788
Hawaii	HI	Honolulu	Aug 21, 1959
Idaho	ID	Boise	Jul 3, 1890
Illinois	IL	Springfield, Chicago	Dec 3, 1818
Indiana	IN	Indianapolis	Dec 11, 1816
Iowa	IA	Des Moines	Dec 28, 1846
Kansas	KS	Topeka, Wichita	Jan 29, 1861
Kentucky	KY	Frankfort, Louisville	Jun 1, 1792
Louisiana	LA	Baton Rouge, New Orleans	Apr 30, 1812
Maine	ME	Augusta, Portland	Mar 15, 1820
Maryland	MD	Annapolis, Baltimore	Apr 28, 1788
Massachusetts[	MA	Boston	Feb 6, 1788
Michigan	MI	Lansing, Detroit	Jan 26, 1837
Minnesota	MN	St. Paul, Minneapolis	May 11, 1858
Mississippi	MS	Jackson	Dec 10, 1817
Missouri	MO	Jefferson City, Kansas City	Aug 10, 1821
Montana	MT	Helena, Billings	Nov 8, 1889
Nebraska	NE	Lincoln, Omaha	Mar 1, 1867
Nevada	NV	Carson City, Las Vegas	Oct 31, 1864
New Hampshire	NH	Concord, Manchester	Jun 21, 1788
New Jersey	NJ	Trenton, Newark	Dec 18, 1787
New Mexico	NM	Santa Fe, Albuquerque	Jan 6, 1912
New York	NY	Albany, New York City	Jul 26, 1788
North Carolina	NC	Raleigh, Charlotte	Nov 21, 1789
North Dakota	ND	Bismarck, Fargo	Nov 2, 1889
Ohio	OH	Columbus	Mar 1, 1803
Oklahoma	OK	Oklahoma City	Nov 16, 1907
Oregon	OR	Salem, Portland	Feb 14, 1859
Pennsylvania	PA	Harrisburg, Philadelphia	Dec 12, 1787
Rhode Island	RI	Providence	May 29, 1790
South Carolina	SC	Columbia, Charleston	May 23, 1788
South Dakota	SD	Pierre, Sioux Falls	Nov 2, 1889
Tennessee	TN	Nashville	Jun 1, 1796
Texas	TX	Austin, Houston	Dec 29, 1845
Utah	UT	Salt Lake City	Jan 4, 1896
Vermont	VT	Montpelier, Burlington	Mar 4, 1791
Virginia	VA	Richmond, Virginia Beach	Jun 25, 1788
Washington	WA	Olympia, Seattle	Nov 11, 1889
West Virginia	WV	Charleston	Jun 20, 1863
Wisconsin	WI	Madison, Milwaukee	May 29, 1848
Wyoming	WY	Cheyenne	Jul 10, 1890
